"chapter","question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"HW7","What is the primary role of convolutional layers in a CNN?","To reduce the number of neurons in the output layer","To detect local features in specific regions of the input image","To perform global average pooling across all feature maps","To apply dropout to prevent overfitting","To compute the cross-entropy loss","To detect local features in specific regions of the input image","Convolutional layers apply learned filters that slide across the input image, detecting local features such as edges, textures, and shapes at specific spatial locations."
"HW7","What is the primary benefit of momentum optimization over standard gradient descent?","It accelerates convergence by accumulating past gradients","It prevents overfitting automatically","It eliminates the need for a learning rate","It reduces the number of parameters","It ensures linear separability of data","It accelerates convergence by accumulating past gradients","Momentum accumulates a velocity vector in the direction of persistent gradient descent, allowing the optimizer to accelerate in consistent directions and dampen oscillations."
"HW7","In exponential scheduling, how does the learning rate change over time?","It drops by a fixed factor every few epochs","It oscillates between high and low values","It drops by a factor of 10 every s steps","It increases linearly then decreases exponentially","It remains constant throughout training","It drops by a factor of 10 every s steps","Exponential scheduling decays the learning rate exponentially: lr = lr0 * 0.1^(t/s), causing it to drop by a factor of 10 every s steps."
"HW7","What is the primary function of the McCulloch-Pitts artificial neuron model?","To optimize weights using gradient descent and compute logic","To apply softmax activation for multiclass classification","To perform nonlinear transformations on input data using binary inputs and outputs","To compute any logical proposition using binary inputs and outputs","To simulate continuous-valued biological neuron behavior","To compute any logical proposition using binary inputs and outputs","The McCulloch-Pitts neuron (1943) showed that a simple binary threshold unit could compute any logical proposition, laying the foundation for neural network theory."
"HW7","A student is training a deep neural network on a complex task. The text suggests that 'you will get more bang for your buck by increasing the number of layers instead of the number of neurons per layer.' What is the underlying reason for this?","Adding more layers makes the network more robust to noise in the data.","Adding more layers is computationally cheaper than adding more neurons.","The text does not provide a reason for this advice.","Deeper networks have a higher parameter efficiency, allowing them to model complex functions with fewer neurons.","Adding more layers reduces the risk of overfitting the training data.","Deeper networks have a higher parameter efficiency, allowing them to model complex functions with fewer neurons.","Deeper networks exploit hierarchical feature learning — lower layers learn simple patterns, higher layers combine them — achieving higher parameter efficiency than simply widening a shallow network."
"HW7","How does zero padding with 'same' padding affect the output size of a convolutional layer?","It reduces the output size by the kernel size","It eliminates the need for strides","It ensures the output size matches the input size when stride is 1","It enhances feature maps by eliminating the need for strides","It doubles the output size and halves the input size","It ensures the output size matches the input size when stride is 1","'Same' padding adds zeros around the input border so that the convolution output has the same spatial dimensions as the input when stride equals 1."
"HW7","What is the primary advantage of the ReLU activation function over sigmoid in deep neural networks?","It prevents saturation for positive values and is computationally efficient","It is S-shaped and differentiable everywhere","It ensures outputs are bounded between 0 and 1","It is inherently regularized to prevent overfitting","It eliminates the need for bias terms","It prevents saturation for positive values and is computationally efficient","ReLU(z) = max(0, z) does not saturate for positive inputs (gradient = 1), allowing gradients to flow freely through deep networks. It is also cheap to compute compared to sigmoid."
"HW7","What advantage does leaky ReLU offer over standard ReLU?","It ensures outputs are bounded between 0 and 1","It prevents neurons from dying by allowing a small gradient for negative inputs","It is computationally slower but more accurate","It eliminates the need for weight initialization","It inherently regularizes the model","It prevents neurons from dying by allowing a small gradient for negative inputs","Leaky ReLU sets a small slope (e.g., 0.01) for negative inputs instead of zero, ensuring neurons always receive some gradient and cannot permanently die during training."
"HW7","What is the primary benefit of deep neural networks over shallow ones in terms of parameter efficiency?","They can model complex functions with fewer neurons due to hierarchical feature learning","They inherently prevent overfitting","They always converge faster regardless of data","They require fewer neurons overall","They eliminate the need for activation functions","They can model complex functions with fewer neurons due to hierarchical feature learning","Deep networks learn hierarchical representations — edges → shapes → objects — reusing lower-level features across layers, achieving far greater expressiveness per parameter than shallow networks."
"HW7","Why might max pooling be preferred over average pooling in CNNs?","It eliminates the need for convolutional layers","It preserves more information than average pooling","It ensures equivariance rather than invariance","It computes the mean, reducing loss of information","It preserves the strongest features, providing a cleaner signal","It preserves the strongest features, providing a cleaner signal","Max pooling selects the highest activation in each pooling window, retaining the most prominent features detected by filters while discarding weaker, less relevant activations."
"HW7","How does a multilayer perceptron (MLP) overcome the XOR problem?","By using a softmax activation function","By using a single layer with nonlinear activation sigmoid function","By applying regularization to the weights to reduce variance","By increasing the learning rate and momentum","By stacking multiple perceptrons to create nonlinear decision boundaries","By stacking multiple perceptrons to create nonlinear decision boundaries","A single perceptron can only learn linearly separable functions. XOR is not linearly separable, but an MLP with a hidden layer can create nonlinear decision boundaries that solve it."
"HW7","What problem does the vanishing gradients issue primarily cause in deep neural networks?","Excessive regularization","Overfitting due to excessive weight updates","Failure to converge due to unchanged lower-layer weights","Increased computational complexity due to small values","Inability to use nonlinear activation functions due to small values","Failure to converge due to unchanged lower-layer weights","When gradients shrink exponentially as they propagate back through many layers, lower layers receive near-zero updates and fail to learn, causing the network to not converge properly."
"HW7","Why was the sigmoid function essential for backpropagation in early MLPs?","It restricts outputs to positive values only ensuring no vanishing gradients","It ensures linear transformations across layers and outputs","It prevents the need for weight initialization","It has a flat derivative, facilitating gradient descent and restricting outputs to positive values only","It has a nonzero derivative everywhere, enabling gradient propagation","It has a nonzero derivative everywhere, enabling gradient propagation","Backpropagation requires a differentiable activation function. Sigmoid is smooth and has a nonzero derivative everywhere, allowing gradients to be computed and propagated through all layers."
"HW7","How does Glorot initialization mitigate the vanishing/exploding gradients problem?","By setting all weights to zero","By ensuring equal variance of inputs and outputs across layers","By applying dropout to all layers","By using a step function for activation","By eliminating bias terms","By ensuring equal variance of inputs and outputs across layers","Glorot (Xavier) initialization sets weight variance to 2/(fan_in + fan_out), keeping signal variance roughly equal across layers so gradients neither vanish nor explode during backpropagation."
