course_num,chapter,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explaination
8520,1,What is the central distinction between classical programming and machine learning?,"Humans write rules in classical programming, whereas systems learn rules from data in machine learning.","Classical programming uses statistical methods, whereas machine learning relies entirely on hardcoded logic.","Machine learning requires GPUs, whereas classical programming cannot be run on modern hardware.","Classical programming processes audio, whereas machine learning only processes textual data.",none of the above,A,"In classical programming, humans input rules and data to get answers. In machine learning, humans input data and answers to let the system learn the rules."
8520,1,"According to the nested definitions of AI fields, which of the following is considered a subfield of machine learning?",Symbolic AI,Deep Learning,Expert Systems,Search Algorithms,all of the above,B,"Deep learning is a specific subfield of machine learning, which itself is a subfield of artificial intelligence."
8520,1,What does the 'deep' in deep learning explicitly refer to?,The philosophical depth and complexity of the model's reasoning.,The number of successive layers of representations in the network.,The amount of data required to train the model.,The depth of the mathematical proofs used to guarantee convergence.,none of the above,B,'Deep' refers to the number of successive layers used to learn increasingly meaningful representations of the data.
8520,1,Which of the following best describes the 'multistage information-distillation' view of deep networks?,Data is randomly shuffled at each layer to prevent overfitting.,"Data becomes increasingly purified and transformed into a more abstract, useful representation at each layer.",Data is compressed into a single binary value early in the network.,Data features are handcrafted by engineers prior to distillation.,none of the above,B,Deep learning acts as a multi-stage information distillation pipeline where data goes in and is purified at each layer into representations increasingly useful for the task.
8520,1,"Before the deep learning era, which machine learning approach dominated the late 1990s and early 2000s by offering convex optimization with theoretical guarantees?",Perceptrons,Support Vector Machines (SVMs),Transformer Networks,Deep Belief Networks,none of the above,B,Support Vector Machines (SVMs) were highly favored over early neural networks because they provided convex optimization and solid theoretical guarantees.
8520,1,Which three pillars converged in the 2010s to make the deep learning era possible at scale?,"Data, Hardware, and Algorithmic improvements","Rules, Logic, and Expert systems","Quantum computing, Python, and Symbolic AI","LISP machines, small datasets, and linear algebra",none of the above,A,"The deep learning explosion was fueled by massive datasets (e.g., ImageNet), specialized hardware (GPUs/TPUs), and algorithmic breakthroughs (ReLU, Dropout, etc.)."
8520,1,"In the context of a neural network layer, what is the primary role of an activation function like ReLU?",To compute the final loss of the network.,"To inject non-linearity, without which multiple layers would collapse into a single linear transformation.",To flatten multi-dimensional input data into a vector.,To initialize the model's weights effectively.,none of the above,B,"Non-linear activation functions are essential because without them, any sequence of linear layers can be reduced to a single linear transformation."
8520,1,What mathematical tool does backpropagation use to efficiently compute the gradient of the loss with respect to every weight?,The Fourier transform,The chain rule,The Laplace transform,Principal Component Analysis,none of the above,B,Backpropagation computes gradients by systematically applying the chain rule of calculus backward through the network layers.
8520,1,What typically happens if the weights of a deep neural network are initialized too small?,The network will instantly overfit the training data.,"The gradients may vanish, preventing the network from learning effectively.",The training time will be reduced significantly.,The activations will explode.,none of the above,B,"If weights are initialized too small, activations shrink, leading to vanishing gradients where early layers receive near-zero updates."
8520,1,Which phenomenon occurs when a machine learning model performs well on its training data but poorly on unseen validation data?,Generalization,Underfitting,Overfitting,Extrapolation,none of the above,C,Overfitting happens when a model learns the specific noise and details of the training data rather than the underlying generalizable patterns.
